Title,Company,Location,Experience,Salary,Posted,Link,source_url
Data Scientist / Machine Learning Engineer,,"Bangalore Rural, Bengaluru",4-9 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-kpmg-assurance-and-consulting-services-llp-bangalore-rural-bengaluru-4-to-9-years-020925030402,https://www.naukri.com/data-scientist-jobs
Data Scientist - Artificial Intelligence,,Bengaluru,3-6 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-6-years-090925930321,https://www.naukri.com/data-scientist-jobs
Data Scientist / Data Analyst,,Hybrid - Bengaluru,7-12 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-data-analyst-optum-bengaluru-7-to-12-years-090925034334,https://www.naukri.com/data-scientist-jobs
Data Scientist-Artificial Intelligence,,Mumbai,3-7 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-mumbai-3-to-7-years-080925932348,https://www.naukri.com/data-scientist-jobs
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-080925932450,https://www.naukri.com/data-scientist-jobs
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-080925925987,https://www.naukri.com/data-scientist-jobs
Data Scientist,Posted by I Square Tek,"Hybrid - Pune, Bengaluru",0-4 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-i-square-tek-pune-bengaluru-0-to-4-years-080925024906,https://www.naukri.com/data-scientist-jobs
Data Scientist-Artificial Intelligence,,Bengaluru,5-7 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-080925932311,https://www.naukri.com/data-scientist-jobs
Data Scientist,,Gurugram,1-2 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-mavenir-gurugram-1-to-2-years-090925502811,https://www.naukri.com/data-scientist-jobs
Data Scientist,,Pune,1-5 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-zensar-technologies-pune-1-to-5-years-090925501749,https://www.naukri.com/data-scientist-jobs
Data Scientist - Time Series,,"Hyderabad, Chennai, Bengaluru",4-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-time-series-tiger-analytics-hyderabad-chennai-bengaluru-4-to-6-years-080925004957,https://www.naukri.com/data-scientist-jobs
Data Scientist (Relevant Exp: GEN AI- 4years Mandatory),Posted by Artech,"Chennai, Bengaluru",6-8 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-relevant-exp-gen-ai-4years-mandatory-artech-chennai-bengaluru-6-to-8-years-090925017372,https://www.naukri.com/data-scientist-jobs
Foreseer AI- Data Scientist III,,"Hyderabad, Gurugram",8-13 Yrs,,1 day ago,https://www.naukri.com/job-listings-foreseer-ai-data-scientist-iii-sp-capital-iq-india-pvt-ltd-hyderabad-gurugram-8-to-13-years-080925916866,https://www.naukri.com/data-scientist-jobs
